0.080000 0.028304 0.008603 2.223139 0.001665 0.000961 0.028055
0.050000 0.030081 0.009125 2.368228 0.001798 0.000926 0.024333
0.010000 0.032621 0.009932 2.558788 0.001829 0.000963 0.024601
0.040000 0.030696 0.009279 2.412682 0.001682 0.001021 0.027466
0.030000 0.031426 0.009532 2.455894 0.001794 0.000978 0.025235
0.020000 0.031951 0.009692 2.510485 0.001882 0.001013 0.022076
0.060000 0.029589 0.009022 2.320581 0.001818 0.000912 0.028736
0.100000 0.027261 0.008400 2.121851 0.001661 0.000883 0.028409
0.090000 0.027761 0.008474 2.167995 0.001663 0.000925 0.030768
0.070000 0.028963 0.008877 2.273586 0.001645 0.000944 0.027978
0.170000 0.024116 0.007697 1.831365 0.001632 0.000843 0.029552
0.190000 0.023681 0.007676 1.795634 0.001598 0.000831 0.027374
0.160000 0.024527 0.007740 1.860983 0.001566 0.000979 0.033029
0.200000 0.023513 0.007551 1.779774 0.001464 0.000842 0.027650
0.180000 0.024023 0.007743 1.809659 0.001533 0.000883 0.027656
0.110000 0.026661 0.008332 2.068751 0.001648 0.000900 0.031618
0.140000 0.025197 0.007854 1.928839 0.001677 0.000923 0.035304
0.150000 0.024719 0.007846 1.891772 0.001521 0.000828 0.030436
0.130000 0.025684 0.008184 1.973549 0.001672 0.000859 0.030090
0.120000 0.026247 0.008309 2.018943 0.001592 0.000927 0.031836
0.250000 0.022914 0.007372 1.723613 0.001517 0.000878 0.023340
0.260000 0.022784 0.007351 1.717761 0.001550 0.000852 0.023778
0.290000 0.022767 0.007383 1.701322 0.001480 0.000850 0.020530
0.300000 0.022523 0.007331 1.696327 0.001480 0.000846 0.020271
0.270000 0.022984 0.007471 1.718797 -nan 0.000658 -nan
0.240000 0.023051 0.007426 1.731990 0.001456 0.000815 0.022572
0.280000 0.022854 0.007453 1.710635 -nan 0.000733 -nan
0.230000 0.023206 0.007502 1.739638 0.001437 0.000849 0.024452
0.210000 0.023286 0.007544 1.761611 0.001604 0.000875 0.026015
0.220000 0.023123 0.007466 1.751295 0.001442 0.000891 0.025583
0.330000 0.022420 0.007236 1.684566 0.001435 0.000858 0.022641
0.380000 0.022535 0.007331 1.689217 -nan 0.000434 -nan
0.360000 0.022267 0.007238 1.676670 0.001471 0.000824 0.020479
0.390000 0.022265 0.007246 1.679671 -nan 0.000633 -nan
0.400000 0.022235 0.007292 1.668315 0.001504 0.000828 0.020146
0.310000 0.022655 0.007262 1.694535 0.001483 0.000860 0.019909
0.370000 0.022258 0.007164 1.684748 -nan 0.000636 -nan
0.340000 0.022489 0.007285 1.684039 0.001363 0.000826 0.021045
0.350000 0.022468 0.007299 1.679669 0.001447 0.000793 0.022748
0.320000 0.022357 0.007266 1.689325 0.001450 0.000862 0.021939
0.470000 0.022018 0.007170 1.668436 -nan 0.000626 -nan
0.450000 0.022266 0.007289 1.670811 -nan 0.000755 -nan
0.460000 0.022551 0.007301 1.691942 -nan -nan -nan
