inf inf inf inf -nan inf -nan
inf inf inf inf -nan inf -nan
inf inf inf inf -nan inf -nan
inf inf inf inf inf inf -nan
inf inf inf inf inf inf -nan
inf inf inf inf inf inf -nan
inf inf inf inf inf inf -nan
inf inf inf inf inf inf -nan
inf inf inf inf inf inf -nan
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
inf inf inf inf inf inf inf
